"Team","GP","W","L","OT","P","GoalDiff","Adj GoalDiff","Sched.Adj."
"NY_RANGERS",82,53,22,7,113,60,56.9,-3.1
"ST_LOUIS",82,51,24,7,109,47,48.61,1.61
"TAMPA_BAY",82,50,24,8,108,50,45.47,-4.53
"CHICAGO",82,48,28,6,102,40,42.08,2.08
"WASHINGTON",82,45,26,11,101,39,36.51,-2.49
"MINNESOTA",82,46,28,8,100,30,32.4,2.4
"MONTREAL",82,50,22,10,110,32,29.61,-2.39
"NASHVILLE",82,47,25,10,104,24,26.82,2.82
"WINNIPEG",82,43,26,13,99,20,23.47,3.47
"NY_ISLANDERS",82,47,28,7,101,22,21.62,-0.38
"CALGARY",82,45,30,7,97,25,21.07,-3.93
"OTTAWA",82,43,26,13,99,23,20.16,-2.84
"VANCOUVER",82,48,29,5,101,19,16.27,-2.73
"LOS_ANGELES",82,40,27,15,95,15,12.97,-2.03
"DETROIT",82,43,25,14,100,14,11.58,-2.42
"PITTSBURGH",82,43,27,12,98,11,10.22,-0.78
"ANAHEIM",82,51,24,7,109,10,8.06,-1.94
"DALLAS",82,41,31,10,92,1,5.36,4.36
"BOSTON",82,41,27,14,96,3,1.47,-1.53
"COLORADO",82,39,31,12,90,-8,-2.79,5.21
"SAN_JOSE",82,40,33,9,89,-4,-6.04,-2.04
"COLUMBUS",82,42,35,5,89,-14,-13.28,0.72
"FLORIDA",82,38,29,15,91,-17,-18.34,-1.34
"PHILADELPHIA",82,33,31,18,84,-19,-18.83,0.17
"NEW_JERSEY",82,32,36,14,78,-35,-32.97,2.03
"CAROLINA",82,30,41,11,71,-38,-35.93,2.07
"TORONTO",82,30,44,8,68,-51,-49.47,1.53
"EDMONTON",82,24,44,14,62,-84,-81.73,2.27
"ARIZONA",82,24,50,8,56,-102,-98.59,3.41
"BUFFALO",82,23,51,8,54,-113,-108.64,4.36
